id;idapp;libelle;loyer;nbrepieces;taux
1;après que;mal cadre;3390;28892;6000
2;recruter;partenaire;14950;9009;30894
3;étonner;intrépide;16991;3235;25270
4;loufoque;proche de adversaire;2019;27902;20715
5;ouin pacifique;solitaire abuser vider;25408;32364;98
6;noter de peur que suivant;divinement;26801;1905;20623
7;soudain;jusqu’à ce que pschitt;5502;21465;17959
8;psitt prout;commis tendre;7802;4268;17058
9;coac coac;coûter;27732;21088;5008
10;de manière à ce que triangulaire mature;mairie d'entre soit;27575;23948;29050
