id;idreg;annee;date;montant;montantlettres;motif;observ_1;observ_2;observ_3;reste
1;21112;23775;2025-07-20T02:46:05;26358;../fake-data/blob/hipster.txt;travailler vraiment conseil municipal;tandis que ding;corps enseignant en faveur de après;vlan;463
2;31848;4198;2025-07-20T18:38:14;9041;../fake-data/blob/hipster.txt;de façon que;splendide lasser;rédaction prout;secouriste trop du moment que;23715
3;16436;16089;2025-07-20T05:03:55;12239;../fake-data/blob/hipster.txt;rectangulaire diététiste psitt;carrément antagoniste dynamique;même si fourbe pour;raconter magnifique dorénavant;10206
4;16827;26823;2025-07-20T17:55:23;30758;../fake-data/blob/hipster.txt;discuter;secours dessus faire;main-d’œuvre charitable;novice souple;12268
5;1771;17438;2025-07-20T09:33:29;25753;../fake-data/blob/hipster.txt;beaucoup mieux extra;membre de l’équipe;propre rectorat;immense bzzz population du Québec;27001
6;12564;32290;2025-07-20T01:25:25;27466;../fake-data/blob/hipster.txt;ranger main-d’œuvre;complètement;davantage;équipe marron contre;3731
7;7519;9172;2025-07-20T14:28:40;1541;../fake-data/blob/hipster.txt;ha sous pschitt;longtemps;au-dessous de;ci;18573
8;19887;19952;2025-07-20T09:24:39;18199;../fake-data/blob/hipster.txt;maigre agiter admirablement;en guise de;toc au prix de;ainsi;10099
9;29823;15915;2025-07-20T20:05:10;20135;../fake-data/blob/hipster.txt;de peur de;cot cot;tsoin-tsoin ouille comme;marron;27884
10;1257;17442;2025-07-20T23:35:19;14631;../fake-data/blob/hipster.txt;accélérer valoir;toc tandis que dès;à même;un peu;1514
