id;idres;ilot;localisation;observation;quartier;ville
1;membre du personnel jusque apparemment;biathlète;probablement à moins de;revivre condamner;également tôt vétuste;à peine lors
2;à travers;dynamique;aïe de de façon à;communauté étudiante;absolument;spécialiste
3;neutre outre;étrangler adversaire circulaire;euh;naguère cocorico sombre;glouglou;vu que crac
4;aujourd'hui en outre de à l'encontre de;défiler;admirablement énorme ha ha;amorphe de sorte que;presque insuffisamment personnel professionnel;biathlète probablement sur
5;vroum comme;forcer charitable;d’autant que ouah;jeune enfant placide;tarder de manière à;collègue proche de cadre
6;à l'instar de verger à travers;à moins de vétuste;collègue;de manière à ce que partout;membre de l’équipe rendre;par suite de
7;là sourire afin que;svelte de façon que;en dépit de;tsoin-tsoin sitôt;bè redonner;derrière soudain aujourd'hui
8;personnel partenaire;commis;abattre au-dehors;loger à l'égard de;obliger contre;gueuler trop infiniment
9;bang brusque;dessus assez au point que;du moment que apte bang;boum;fêter;malgré vorace plic
10;moins de façon que;au-dehors miam atchoum;antagoniste pleuvoir;vide;incognito;lectorat entre
